open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,take_buy_base_asset_volume,take_buy_quote_asset_volume,ignore
1609459200000,28923.63,29470.0,28690.17,29278.4,11560.456553,1609473599999,337730077.55709404,262441,6354.750111,185675832.60984153,0.0
1609473600000,29278.41,29395.0,28806.54,29092.83,7308.910274,1609487999999,212959808.1209763,196772,3437.053243,100170352.33508395,0.0
1609488000000,29092.84,29402.57,28872.24,29313.49,8283.705319,1609502399999,241843536.24794328,195352,4554.094883,132989690.4973169,0.0
1609502400000,29313.49,29600.0,29030.14,29188.67,11794.949515,1609516799999,346262815.4359047,269572,5950.099715,174770117.20762047,0.0
1609516800000,29188.67,29360.0,28624.57,29029.04,9850.965345,1609531199999,286439126.23657554,237490,4347.017575,126457429.93102378,0.0
1609531200000,29029.04,29338.89,28880.37,29331.69,5383.938005,1609545599999,157291625.56337875,153283,2812.786198,82184321.96421748,0.0
1609545600000,29331.7,29469.0,28946.53,29351.95,7393.028526,1609559999999,216316507.26705596,166125,3690.672938,108013435.66927001,0.0
1609560000000,29351.95,29820.5,29220.0,29750.0,9865.642845,1609574399999,291957821.46943516,202762,6322.783094,187156091.77645305,0.0
1609574400000,29751.47,29899.0,29473.91,29755.0,9226.804608,1609588799999,274369857.0248629,197876,4393.189362,130664922.08897401,0.0
1609588800000,29754.99,31800.0,29741.39,31691.29,34028.973399,1609603199999,1050932902.1150658,568973,18735.443501,577688213.6588075,0.0
1609603200000,31691.09,33300.0,31616.42,33027.2,34849.617798,1609617599999,1137521994.565701,558167,17910.376313,584851099.4984124,0.0
1609617600000,33027.2,33061.37,30300.0,32178.33,34629.806186,1609631999999,1102743081.2294204,552019,16393.840038,521960961.1952289,0.0
1609632000000,32176.45,32884.09,31962.99,32573.87,10890.302907,1609646399999,354166675.80315745,228605,5439.988071,176900512.45244798,0.0
1609646400000,32576.11,34778.11,32450.0,34452.34,26286.126296,1609660799999,890390017.737399,468152,13754.822482,465470008.5208066,0.0
1609660800000,34451.78,34670.41,33403.0,34413.53,22651.532867,1609675199999,772577341.6201433,438165,10987.166837,374834425.4890614,0.0
1609675200000,34413.53,34600.0,32727.0,33506.62,23240.077177,1609689599999,785083115.4879143,430705,11010.248268,372146448.65953416,0.0
1609689600000,33505.15,33822.69,32267.0,32772.21,22427.187643,1609703999999,739419782.9814188,432712,10953.33222,361219054.1825027,0.0
1609704000000,32775.1,33861.92,32600.0,33000.05,15462.33986,1609718399999,515961491.8619836,371359,7604.774993,253857984.6274934,0.0
1609718400000,33000.05,33588.0,32400.25,33505.16,14536.79062,1609732799999,480464953.86164075,327255,7073.924013,233831013.31267703,0.0
1609732800000,33505.15,33600.0,31505.0,32068.84,21398.871909,1609747199999,701401904.4192685,414734,11016.529498,361097511.55793595,0.0
1609747200000,32068.84,32567.88,28130.0,30743.06,46591.471025,1609761599999,1417817418.0990508,773993,21800.712599,663484828.91132,0.0
1609761600000,30742.99,32185.67,30454.25,31745.72,26592.539453,1609775999999,834727120.3831356,470560,12617.515823,396060237.7851907,0.0
1609776000000,31745.71,31920.0,30626.36,31665.51,19886.660603,1609790399999,620725769.1765472,375567,10451.49495,326221629.66383487,0.0
1609790400000,31665.52,32031.01,30856.08,31988.71,11893.55208,1609804799999,373873183.7557021,280299,6128.292347,192740187.78602934,0.0
1609804800000,31989.75,32853.38,31130.86,31200.0,20813.0786,1609819199999,672370621.7292922,388923,11188.615029,361654009.2029939,0.0
1609819200000,31190.04,31538.45,29900.0,30817.77,23019.057178,1609833599999,709420501.5660572,516921,10754.628892,331360927.2028385,0.0
1609833600000,30817.78,31821.94,30817.78,31776.66,13255.6011,1609847999999,416370776.8270581,334534,7003.038911,220019453.65984267,0.0
1609848000000,31776.66,32375.07,31111.78,32099.98,16243.276369,1609862399999,516942035.3631131,394782,8773.504812,279292102.6793839,0.0
1609862400000,32099.97,34187.09,31763.23,33697.75,23832.165758,1609876799999,788306836.9160733,506591,12682.248709,419781729.0035478,0.0
1609876800000,33693.8,34360.0,33318.0,33949.53,18886.818033,1609891199999,640206372.2453215,385100,9289.718402,315086871.8929429,0.0
1609891200000,33949.53,34170.0,33288.0,34117.59,15779.353879,1609905599999,533400577.3330188,302027,7290.072339,246581498.8313419,0.0
1609905600000,34116.76,35766.58,34109.83,34676.4,26152.96499,1609919999999,914192106.7230763,490567,14729.638924,514598899.3123699,0.0
1609920000000,34666.8,35200.0,33357.9,34918.53,21063.050567,1609934399999,725343211.045219,438644,10020.723687,345299317.3863112,0.0
1609934400000,34918.54,35088.0,34052.42,34566.19,18644.311939,1609948799999,643936817.9030052,416338,8913.581748,307940703.7863554,0.0
1609948800000,34566.18,35695.0,34372.92,34816.72,18876.49598,1609963199999,661674596.5122433,405455,9048.37971,317388606.4512341,0.0
1609963200000,34818.95,36939.21,34280.0,36769.36,26623.023955,1609977599999,953406939.0030518,538752,13050.518244,467823444.45393646,0.0
1609977600000,36769.36,37699.0,36422.71,37454.48,19662.246626,1609991999999,727630384.2995182,397381,9816.251301,363430410.36943704,0.0
1609992000000,37452.62,37700.8,36710.0,36859.85,16315.182158,1610006399999,607327166.3624591,375767,7529.63989,280434415.7334371,0.0
1610006400000,36863.04,37913.72,36300.0,37822.09,17213.968918,1610020799999,639522639.5454152,346303,8380.024635,311669126.25395316,0.0
1610020800000,37825.64,38970.42,37518.0,38970.42,22645.701477,1610035199999,866390866.5290875,472157,10859.532859,415595393.93775815,0.0
1610035200000,38970.41,40365.0,36500.0,39062.0,39368.560182,1610049599999,1531233997.5021038,802410,19669.524471,766515775.1657264,0.0
1610049600000,39061.99,39969.0,38352.88,39432.28,17620.041076,1610063999999,690464889.1447877,420668,8800.13398,344938118.3961852,0.0
1610064000000,39432.48,39699.87,36500.0,38347.1,23563.558207,1610078399999,897708139.6386667,503278,10332.634124,393913750.3171629,0.0
1610078400000,38347.11,39143.8,37563.92,38930.55,17678.05242,1610092799999,680998454.3870326,347120,8212.925307,316343553.22008497,0.0
1610092800000,38929.56,41500.45,38222.0,41286.67,26858.313228,1610107199999,1077109876.3568616,535257,14097.043951,565802677.9733361,0.0
1610107200000,41286.67,41950.0,39777.0,40829.08,29703.863861,1610121599999,1221626743.6264076,585165,14251.608591,586487600.9643391,0.0
1610121600000,40829.07,41600.0,39800.0,40365.09,20523.08366,1610135999999,836690798.9889045,442682,9972.169459,406729845.837551,0.0
1610136000000,40365.09,40937.77,38652.0,40582.81,21463.086123,1610150399999,854309195.7334924,512130,10433.773784,415698017.66643095,0.0
1610150400000,40586.96,40976.13,39500.0,40211.59,13875.82436,1610164799999,557694355.8283104,346328,7278.25353,292428483.0373531,0.0
1610164800000,40209.91,40490.0,38720.0,39638.61,12464.021144,1610179199999,492163371.613784,343664,5901.641772,233105431.95031494,0.0
1610179200000,39639.21,41237.44,39290.86,40565.77,14548.756541,1610193599999,588504553.6288258,389768,7689.450735,311099043.13639885,0.0
1610193600000,40565.77,41380.0,40200.0,40525.15,13783.07301,1610207999999,562964782.9622077,344593,6616.600362,270387268.3816819,0.0
1610208000000,40525.16,40880.0,39869.0,40665.91,10121.055377,1610222399999,409347991.23225224,272189,4671.318239,188986722.17664093,0.0
1610222400000,40665.91,40781.69,39928.91,40088.22,10993.249243,1610236799999,444103973.8963966,301614,4850.057271,195983756.8693093,0.0
1610236800000,40088.22,41350.0,40087.15,40316.64,11827.445704,1610251199999,482602046.643185,314532,6296.877905,257007115.2671519,0.0
1610251200000,40320.67,41073.26,40050.0,40978.57,9169.85114,1610265599999,372472360.4142324,267545,4680.981991,190201653.11076483,0.0
1610265600000,40978.57,41060.0,38888.0,39181.76,18823.288303,1610279999999,755447120.6532534,447441,7675.665816,308090436.10946447,0.0
1610280000000,39175.09,40126.0,38450.0,39671.81,17148.669684,1610294399999,677537699.6114085,381867,7977.524048,315302186.0046255,0.0
1610294400000,39671.82,39757.55,37111.0,37456.77,26106.908154,1610308799999,1000599741.6353103,540518,12006.641905,460560655.9083699,0.0
1610308800000,37472.4,39000.0,35111.11,38150.02,35133.381518,1610323199999,1315375760.5496807,676147,16813.653008,629814850.4276508,0.0
1610323200000,38150.02,38264.74,33600.0,35438.23,37334.824103,1610337599999,1345571722.3024838,687482,18128.165099,654709227.9786035,0.0
1610337600000,35438.23,35999.95,32538.0,34375.34,45091.05878,1610351999999,1545864777.8753383,813991,21876.203335,750363517.8502419,0.0
1610352000000,34372.25,36360.0,34020.0,34198.56,25470.7213,1610366399999,899406292.6309365,517320,12613.364818,445497814.04937255,0.0
1610366400000,34198.55,35110.0,31115.0,31580.0,57121.745353,1610380799999,1886160249.0632951,908610,28004.705874,924610478.3573668,0.0
1610380800000,31582.82,33585.17,30420.0,32254.62,51176.262042,1610395199999,1632857166.707123,872884,25019.570427,798981645.1515871,0.0
1610395200000,32254.63,35638.55,31408.07,35404.47,32936.928365,1610409599999,1117019562.1608336,631164,16491.396637,558953599.5581299,0.0
1610409600000,35410.37,35547.19,33677.03,34984.96,20156.062178,1610423999999,697765441.1236149,432452,10073.176844,348787850.66633075,0.0
1610424000000,34984.95,36628.0,34520.69,36413.6,21820.925278,1610438399999,779566111.0001951,433532,11053.818825,394848334.9088243,0.0
1610438400000,36413.6,36499.98,34757.0,35410.99,20129.584186,1610452799999,716524478.4129373,425047,9742.002246,346788668.3553374,0.0
1610452800000,35410.99,35688.82,32531.0,33829.4,32930.544669,1610467199999,1118976004.358879,557166,15505.936505,526738763.59910095,0.0
1610467200000,33829.4,35550.0,33819.11,34685.11,19491.04941,1610481599999,678143818.3801835,397140,9666.487372,336514146.0872066,0.0
1610481600000,34686.1,35051.02,33260.74,34051.24,19419.986275,1610495999999,660326570.2083066,428808,9056.888404,308054715.2132516,0.0
1610496000000,34049.15,34375.51,32380.0,33818.5,27424.984325,1610510399999,910971342.8999457,469548,13412.758948,445802957.7306153,0.0
1610510400000,33818.5,35180.67,32800.0,34986.9,18746.308974,1610524799999,634646677.6677805,401955,10107.566387,342431146.6487839,0.0
1610524800000,34986.9,35250.0,34200.0,34385.48,21211.79171,1610539199999,736532256.7211046,415157,10981.650541,381505833.52001363,0.0
1610539200000,34385.48,35100.0,34017.0,34673.9,16102.347966,1610553599999,556172892.6701185,345194,7996.448441,276326510.70660305,0.0
1610553600000,34673.9,36188.0,34388.53,36002.25,17747.20155,1610567999999,627648534.0050272,380848,9883.19663,349530353.41877556,0.0
1610568000000,36002.24,37850.0,35704.21,37371.38,23245.280413,1610582399999,856904902.4556493,501587,11599.417359,427275889.3471206,0.0
1610582400000,37371.38,38172.22,37000.0,37045.13,16138.473791,1610596799999,606280563.1472309,357643,8161.668104,306687174.37508386,0.0
1610596800000,37045.13,38596.92,36701.23,38198.34,15764.35508,1610611199999,595513093.2190281,317387,7904.183004,298793439.48172706,0.0
